product_name,product_brand,expire_date,product_code
"Sheep Meat (including lamb, mutton, ram, hogget) / Offal",NARASELL PTY LIMITED trading as JUNEE ABATTOIR,19.07.2020,00041707JUA01C
"Sheep Meat (including lamb, mutton, ram, hogget) / Offal",HIRINO PTY LTD trading as GUNDAGAI MEAT PROCESSORS,20.06.2020,00021706GMP01C
"Sheep Meat (including lamb, mutton, ram, hogget) / Offal",FLETCHER INTERNATIONAL EXPORTS PTY LTD,25.04.2020,00011704FIE01C
Beef Meat ,WINGHAM BEEF EXPORTS PTY LTD,07.09.2020,00131709WBE01C
Beef Meat,EC THROSBY PTY LTD,23.08.2020,00121708ECT01C
"Sheep Meat (including lamb, mutton, ram, hogget)",WESTERN AUSTRALIAN MEAT MARKETING CO-OPERATIVE trading as WAMMCO INTERNATIONAL,31.07.2020,00151707WAMMCO01C
"Beef Meat / Goat Meat / Calf Meat (veal) / Sheep Meat (including lamb, mutton, ram, hogget) / Offal",THOMAS FOODS INTERNATIONAL MURRAY BRIDGE PTY LTD,05.09.2020,00161709TFI01C
"Goat meat / Sheep Meat (including lamb, mutton, ram, hogget) / Offal",THOMAS FOODS INTERNATIONAL LOBETHAL PTY LTD,04.09.2020,00171709TFI01C
" Goat Meat / Sheep Meat (including lamb, mutton, ram, hogget) / Offal",ARARAT MEAT EXPORTS PTY LTD,25.07.2020,00181707AME01C
"Sheep Meat (including lamb, mutton, ram, hogget) / Ovine Offal",FREWSTAL PTY LTD,25.07.2020,00201707FRE01C
Beef Meat,RALPH'S MEAT COMPANY PTY LTD,29.07.2020,00211707RMC01C.rev1
"Beef Meat / Calf Meat (veal) / Sheep Meat (including lamb, mutton, ram, hogget) / Offal",M. C. HERD PTY LTD,13.07.2020,00221707MCHH01C
"Beef Meat / Calf Meat (veal) / Sheep Meat (including lamb, mutton, ram, hogget) / Offal",MIDFIELD MEAT INTERNATIONAL PTY LTD,12.07.2020,00231707MMI01C
Beef Meat ,G&K O'CONNOR PTY LTD,12.09.2020,00241709GKO01C
"Goat meat / Sheep Meat (including lamb, mutton, ram, hogget) ",RYAN MEAT COMPANY PTY LTD,23.11.2020,00251711RMC01C
"Sheep Meat (including lamb, mutton, ram, hogget)",CADOPEN PTYLTD trading as TALLANGATTA MEAT PROCESSORS,16.10.2020,00261708WOR01C
Beef Meat ,VICTORIA VALLEY MEAT EXPORTS PTY LTD,12.08.2020,00271708VVME01C
"Beef Meat / Calf Meat (veal) / Goat meat / Sheep Meat (including lamb, mutton, ram, hogget)",WAGSTAFF CRANBOURNE PTY LTD,08.09.2020,00281709WAG01C
"Beef Meat / Calf Meat (veal) / Goat meat / Sheep Meat (including lamb, mutton, ram, hogget) Offal",WODONGA RENDERING PTY LTD,11.08.2020,00291708WOR01C.rev1
" Calf Meat (veal) / Sheep Meat (including lamb, mutton, ram, hogget)",TASMANIAN QUALITY MEATS PTY LTD,19.07.2020,00301707TQM01C
Beef Meat / Offal,STANBROKE BEEF PTY LTD,06.09.2020,00311709STB01C
"Beef Meat / Calf Meat (veal) / Sheep Meat (including lamb, mutton, ram, hogget)",CENTRAL MEAT EXPORTS PTY LTD (Boning Room only),10.08.2020,00321708CME01C
"Sheep Meat (including lamb, mutton, ram, hogget)",AUSTRALIAN LAMB COMPANY_SUNSHINE (Boning Room Only),11.08.2020,00331708ALCS01C
" Goat Meat /Beef Meat/ Calf Meat (veal) Offal / Sheep Meat (including lamb, mutton, ram, hogget) ",AUSTRALIAN MEAT GROUP PTY LTD (DANDENONG),31.08.2020,00341708AMG01C
Beef Meat / Offal,GBP AUSTRALIA PTY LTD,13.09.2020,00351709GBP01C
"Beef Meat / Calf Meat (veal) / Offal / Goat Meat / Sheep Meat (including lamb, mutton, ram, hogget)",HARDWICKS MEATWORKS PTY LTD,22.08.2020,00371708HMW01C
"Goat Meat / Sheep Meat (including lamb, mutton, ram, hogget) ",ASHTON PTY LTD trading as SWAN HILL ABATTOIR,28.08.2020,00381708SHA01C
"Goat meat / Calf Meat (veal) / Sheep Meat (including lamb, mutton, ram, hogget) / Offal",CEDAR MEATS (AUST) PTY LTD,26.07.2020,00391707CMA01C
"Goat Meat / Sheep Meat (including lamb, mutton, ram, hogget) / Offal",BENALE PTY LTD,13.06.2020,00401706BEN01C
"Goat Meat / Sheep Meat (including lamb, mutton, ram, hogget) / Offal",THOMAS FOODS INTERNATIONAL PTY LTD TAMWORTH,27.06.2020,00091706TFI01C
"Sheep Meat (including lamb, mutton, ram, hogget) / Offal",SOUTHERN MEATS PTY LTD,18.09.2020,00081709SOM01C
Meltique Beef Meat ,HOKUBEE AUSTRALIA PTY LTD,28.11.2020,00511711HA01C
RETAIL PACK / FRESH MEATS / DELI LINES / RIBS / BURGERS / PIZZA TOPPINGS / DONER KEBABS,FETTAYLEH WHOLESALE MEAT SUPPLIES PTY LTD,17.09.2020,00551709FWMS01C .02C .03C . 04C
"The production (fermentation, concentration, freezing and freeze drying), 
packing and distribution of the DELVO Range of Starter Cultures (Delvo Add,  
 Delvo Cheese,  Delvo Fresh,  Delvo Guard,  Delvo Pro,  Delvo Tam,  Delvo Tec,  
Delvo Yog,  I-Add,   I-Reduce)   ",DSM FOOD SPECIALTIES AUSTRALIA,17.07.2020,00531707DSM01L
"D085.00-Super Nova Vanilla,  D460.02-Chocolate Sachet,  N305.02-Nova Yoghurt,  
D026.00-Jollibee Dubai Vanilla,  D726.04-Choc Frosty,  D727.01-Vanilla Frosty,  D455.02-Soft Serve",FROSTY BOY AUSTRALIA PTY LTD,14.09.2020,00521709FBA03E
BEEF MEAT / BEEF OFFAL,Hilltop Meats,23.09.2021,00411809HTM01C
"BEEF, SHEEP, LAMB,
GOAT MEAT & EDIBLE OFFAL",sperance Meat Exports,06.12.2021,00421218EME01C
FOOD (DAIRY),"Warrnambool Cheese
& Butter Factory",26.10.2021,00761811WCBF1C
FOOD (DAIRY),Great Ocean Ingredients,26.10.2021,00751809GOI1L
