,product_name,product_brand,expire_date,product_code
261,(eop) angus premium ribeye mbs3,palace butcher resources sdn. bhd.,15.10.2020,
262,(eop) angus ribeye,palace butcher resources sdn. bhd.,15.10.2020,
263,(eop) angus striploin,palace butcher resources sdn. bhd.,15.10.2020,
264,(eop) grain fed ribeye,palace butcher resources sdn. bhd.,15.10.2020,
265,(eop) grain fed striploin,palace butcher resources sdn. bhd.,15.10.2020,
266,(eop) grass fed ribeye,palace butcher resources sdn. bhd.,15.10.2020,
267,(eop) sp grass fed striploin,palace butcher resources sdn. bhd.,15.10.2020,
268,(eop) super premium grain fed ribeye,palace butcher resources sdn. bhd.,15.10.2020,
269,(eop) super premium grain fed striploin,palace butcher resources sdn. bhd.,15.10.2020,
270,(eop) wagyu ribeye mbs 4-5,palace butcher resources sdn. bhd.,15.10.2020,
271,(eop) wagyu ribeye mbs 6-7,palace butcher resources sdn. bhd.,15.10.2020,
272,(eop) wagyu ribeye mbs 8-9,palace butcher resources sdn. bhd.,15.10.2020,
273,(eop) wagyu striploin mbs 4-5,palace butcher resources sdn. bhd.,15.10.2020,
274,(eop) wagyu striploin mbs 6-7,palace butcher resources sdn. bhd.,15.10.2020,
275,(eop) wagyu striploin mbs 8-9,palace butcher resources sdn. bhd.,15.10.2020,
276,(wet aged) grain fed striploin,palace butcher resources sdn. bhd.,15.10.2020,
277,(wet aging) angus ribeye,palace butcher resources sdn. bhd.,15.10.2020,
278,(wet aging) angus striploin,palace butcher resources sdn. bhd.,15.10.2020,
279,(wet aging) angus t-bone,palace butcher resources sdn. bhd.,15.10.2020,
280,(wet aging) grain fed ribeye,palace butcher resources sdn. bhd.,15.10.2020,
281,(wet aging) grain fed striploin,palace butcher resources sdn. bhd.,15.10.2020,
118,1% chocolate milk 2l,reid's dairy,,60485 00503
8230,1% low fat milk,parmalat,,
7953,1% milk,borden,,
7978,1% milk,heb,,
10099,1% milk,clover,,
8007,1% milk,heb,,
10011,1% milk,sunnyside farms,,
8827,1% milk,t.g. lee dairy farm,,
9583,1% milk,kirkland,,
7877,1% milk,borden,,
7528,1% milk,lehigh valley,,
8208,1% milk,stop & shop,,
8276,1% milk,shoprite,,
9268,1% milk,market pantry,,
8732,1% milk,borden,,
7694,1% milk,wild harvest,,
7604,1% milk,giant,,
8747,1% milk,winn-dixie,,
7676,1% milk,fred meyer,,
8144,1% milk,tuscan,,
8630,1% milk,organic valley,,
7770,1% milk,darigold,,
7865,1% milk,lucerne,,
10128,1% milk,sunnyside farms,,
9990,1% milk fat buttermilk,clover,,
8076,1% milk fat cottage cheese,friendship,,
124,1% partly skimmed milk,reid's dairy,,60485 01102
8525,1% reduced fat milk,schnucks,,
7281,1. extra assorted fruits 2. extra berries 3. extra tropical fruits 4. extra wintergreen,tums,,
9965,1/3 less fat cream cheese,raley's,,
9336,1/3 less fat cream cheese,meijer,,
8517,1/3 less fat neufchatel,schnucks,,
9825,1/3 less fat neufchatel cheese,lucerne,,
8756,1/3 less fat neufchatel cheese,winn-dixie,,
120,10% cream 1l,reid's dairy,,60485 00715
7283,10.ultra assorted berries 11.ulta tropical fruits 12. ultra peppermint,tums,,
7250,100 pure petroleum jelly,vaseline,,
7992,100% apple it?s juice,heb,,
9170,100% apple juice,great value,,
9698,100% apple juice,tree top,,
9380,100% apple juice,meijer,,
8665,100% apple juice,essential everyday,,
7831,100% apple juice,safeway kitchens,,
8976,100% apple juice,shurfine,,
9518,100% apple juice,essential everyday,,
8358,100% apple juice,nature's own,,
9588,100% columbia coffee,kirkland,,
8380,100% concord grape juice,farmer's,,
9740,100% corn starch,safeway kitchens,,
9083,100% cranberry juice from concentrate,365,,
9247,100% egg whites,simply balanced,,
9271,100% florida orange juice,market pantry,,
8974,100% grape juice,shurfine,,
9168,100% grape juice,great value,,
8110,100% grape juice,america's choice,,
8357,100% grape juice,nature's own,,
9590,100% grape juice,kirkland,,
9731,100% grape juice,safeway kitchens,,
7829,100% grape juice,safeway kitchens,,
7827,100% grapefruit juice,safeway kitchens,,
