 BIG VALUE O-CHOC- CREAM SANDWICH VANILLA FLAVOUR,FOODIE4U SDN BHD,"
		30/06/2019"
 COOKIES - PISTACHIO BISCOTTI,PROFOUND PASTRY SDN. BHD.,"
		15/06/2021"
 MINCE INDIAN BUFFALO,PRIMA FINE FOODS SDN BHD,"
		31/12/2019"
 MYOTEIN PLUS - WHEY PROTEIN ISOLATE/HYDROLYSATE,BIOSCENERGY INTERNATIONAL SDN BHD,"
		31/12/2020"
 PEANUT MUFFIN ,HAZEL CAKE HOUSE,"
		31/05/2019"
(EOP) ANGUS PREMIUM RIBEYE MBS3,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(EOP) ANGUS RIBEYE,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(EOP) ANGUS STRIPLOIN,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(EOP) GRAIN FED RIBEYE,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(EOP) GRAIN FED STRIPLOIN,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(EOP) GRASS FED RIBEYE,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(EOP) SP GRASS FED STRIPLOIN,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(EOP) SUPER PREMIUM GRAIN FED RIBEYE,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(EOP) SUPER PREMIUM GRAIN FED STRIPLOIN,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(EOP) WAGYU RIBEYE MBS 4-5,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(EOP) WAGYU RIBEYE MBS 6-7,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(EOP) WAGYU RIBEYE MBS 8-9,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(EOP) WAGYU STRIPLOIN MBS 4-5,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(EOP) WAGYU STRIPLOIN MBS 6-7,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(EOP) WAGYU STRIPLOIN MBS 8-9,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(WET AGED) GRAIN FED STRIPLOIN,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(WET AGING) ANGUS RIBEYE,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(WET AGING) ANGUS STRIPLOIN,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
(WET AGING) ANGUS T-BONE,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15/10/2020"
